Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,TMP
SRR18750490,AMPLICON,501,19376643,PRJNA826738,SAMN27579660,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10703117,RUIJIN HOSPITAL,2018,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850624,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD82-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD82-1,SRP370205,76
SRR18750491,AMPLICON,501,16747792,PRJNA826738,SAMN27579659,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9256433,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850623,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD80-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD80-1,SRP370205,75
SRR18750492,AMPLICON,500,16907435,PRJNA826738,SAMN27579658,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9552736,RUIJIN HOSPITAL,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850622,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD79-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD79-1,SRP370205,74
SRR18750493,AMPLICON,501,18488889,PRJNA826738,SAMN27579657,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10260140,RUIJIN HOSPITAL,2018,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850621,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD78-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD78-1,SRP370205,73
SRR18750494,AMPLICON,500,18729532,PRJNA826738,SAMN27579656,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10565933,RUIJIN HOSPITAL,2018,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850620,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD77-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD77-1,SRP370205,72
SRR18750495,AMPLICON,500,18698441,PRJNA826738,SAMN27579655,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10306390,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850619,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD76-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD76-1,SRP370205,71
SRR18750496,AMPLICON,499,18451003,PRJNA826738,SAMN27579592,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10052845,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850618,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD9-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD9-1,SRP370205,8
SRR18750497,AMPLICON,500,16901210,PRJNA826738,SAMN27579654,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9565421,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850617,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD75-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD75-1,SRP370205,70
SRR18750498,AMPLICON,500,18868565,PRJNA826738,SAMN27579653,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10507948,RUIJIN HOSPITAL,2018,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850616,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD74-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD74-1,SRP370205,69
SRR18750499,AMPLICON,500,18583219,PRJNA826738,SAMN27579652,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10346730,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850615,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD72-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD72-1,SRP370205,68
SRR18750500,AMPLICON,500,17282919,PRJNA826738,SAMN27579651,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9543418,RUIJIN HOSPITAL,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850614,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD71-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD71-1,SRP370205,67
SRR18750501,AMPLICON,500,17967767,PRJNA826738,SAMN27579650,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9548485,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Human gut,gut microbiome,stool,SRX14850613,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD70-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD70-1,SRP370205,66
SRR18750502,AMPLICON,500,18089223,PRJNA826738,SAMN27579649,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9749059,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850612,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD69-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD69-1,SRP370205,65
SRR18750503,AMPLICON,500,17907106,PRJNA826738,SAMN27579648,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10010721,RUIJIN HOSPITAL,2018,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX14850611,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD68-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD68-1,SRP370205,64
SRR18750504,AMPLICON,500,17113098,PRJNA826738,SAMN27579647,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9619772,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850610,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD67-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD67-1,SRP370205,63
SRR18750505,AMPLICON,500,19385935,PRJNA826738,SAMN27579646,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10667133,RUIJIN HOSPITAL,2018,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850609,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD66-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD66-1,SRP370205,62
SRR18750506,AMPLICON,500,18799098,PRJNA826738,SAMN27579645,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10546510,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX14850608,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD65-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD65-1,SRP370205,61
SRR18750507,AMPLICON,498,17480662,PRJNA826738,SAMN27579591,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9539301,RUIJIN HOSPITAL,2018,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850607,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD8-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD8-1,SRP370205,7
SRR18750508,AMPLICON,500,17679762,PRJNA826738,SAMN27579644,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9903402,RUIJIN HOSPITAL,2018,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850606,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD64-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD64-1,SRP370205,60
SRR18750509,AMPLICON,500,16218060,PRJNA826738,SAMN27579643,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9092779,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850605,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD63-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD63-1,SRP370205,59
SRR18750510,AMPLICON,501,18026924,PRJNA826738,SAMN27579642,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9856677,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850604,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD62-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD62-1,SRP370205,58
SRR18750511,AMPLICON,500,17064157,PRJNA826738,SAMN27579641,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9542431,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Human gut,gut microbiome,stool,SRX14850603,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD61-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD61-1,SRP370205,57
SRR18750512,AMPLICON,500,16758452,PRJNA826738,SAMN27579640,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9271784,RUIJIN HOSPITAL,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850602,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD60-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD60-1,SRP370205,56
SRR18750513,AMPLICON,500,18564752,PRJNA826738,SAMN27579639,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10286369,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850601,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD59-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD59-1,SRP370205,55
SRR18750514,AMPLICON,500,19039783,PRJNA826738,SAMN27579638,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10599900,RUIJIN HOSPITAL,2018,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850600,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD57-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD57-1,SRP370205,54
SRR18750515,AMPLICON,500,15700507,PRJNA826738,SAMN27579637,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8628534,RUIJIN HOSPITAL,2018,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Human gut,gut microbiome,stool,SRX14850527,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD56-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD56-1,SRP370205,53
SRR18750516,AMPLICON,500,18881447,PRJNA826738,SAMN27579815,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10625309,RUIJIN HOSPITAL,2019,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Human gut,gut microbiome,stool,SRX14850598,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD124-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD124-2,SRP370205,231
SRR18750517,AMPLICON,500,17360675,PRJNA826738,SAMN27579608,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9962475,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850597,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD26-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD26-1,SRP370205,24
SRR18750518,AMPLICON,500,17117811,PRJNA826738,SAMN27579814,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9564771,RUIJIN HOSPITAL,2019,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Human gut,gut microbiome,stool,SRX14850596,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD123-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD123-2,SRP370205,230
SRR18750519,AMPLICON,500,18384402,PRJNA826738,SAMN27579813,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10188992,RUIJIN HOSPITAL,2019,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850595,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD122-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD122-2,SRP370205,229
SRR18750520,AMPLICON,500,18923163,PRJNA826738,SAMN27579812,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10782979,RUIJIN HOSPITAL,2019,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850594,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD121-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD121-2,SRP370205,228
SRR18750521,AMPLICON,500,16583555,PRJNA826738,SAMN27579811,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9042990,RUIJIN HOSPITAL,2019,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850593,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD120-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD120-2,SRP370205,227
SRR18750522,AMPLICON,500,16510904,PRJNA826738,SAMN27579810,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9200894,RUIJIN HOSPITAL,2019,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX14850592,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD119-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD119-2,SRP370205,226
SRR18750523,AMPLICON,500,19315310,PRJNA826738,SAMN27579809,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10680877,RUIJIN HOSPITAL,2019,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850591,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD118-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD118-2,SRP370205,225
SRR18750524,AMPLICON,500,18468075,PRJNA826738,SAMN27579808,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10232031,RUIJIN HOSPITAL,2019,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850590,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD116-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD116-2,SRP370205,224
SRR18750525,AMPLICON,500,17120713,PRJNA826738,SAMN27579807,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9432069,RUIJIN HOSPITAL,2019,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX14850589,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD115-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD115-2,SRP370205,223
SRR18750526,AMPLICON,500,16551522,PRJNA826738,SAMN27579806,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9208361,RUIJIN HOSPITAL,2019,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850588,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD113-2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD113-2,SRP370205,222
